District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
TRANS NZOIA WEST,KINYORO,KIPYOIYWAN,8043,8049,16092,3071,44.74,359.66,KINYORO,RIFT VALLEY
BOMET,TEGAT,KIPYOSIT,2160,2309,4469,804,7.93,563.46,LONGISA,RIFT VALLEY
THARAKA,MARIMANTI,KIRANGARE,682,686,1368,308,20.62,66.33,THARAKA CENTRAL,EASTERN
KIKUYU,NYATHUNA,KIRANGARI,4777,4966,9743,2695,4.78,2038.46,KABETE,CENTRAL
GATUNDU,NGENDA,KIRANGARI,2413,2786,5199,1701,2.64,1969.09,GATUNDU,CENTRAL
GATUNDU,NDARUGU,KIRANGI,1708,1845,3553,942,10.15,350,GATUNDU,CENTRAL
MAARA,CHOGORIA,KIRARO,1964,1943,3907,1036,5.5,710.29,MWIMBI,EASTERN
KIRINYAGA,THIBA,KIRATINA,6092,6059,12151,3759,16.73,726.48,MWEA,CENTRAL
GITHUNGURI,KIRATINA,KIRATINA,4179,4535,8714,2382,11.73,742.7,KOMOTHAI,CENTRAL
NAKURU,FREE AREA,KIRATINA,7312,6942,14254,4239,4.06,3509.2,LANET,RIFT VALLEY
MERU SOUTH,MUGWE,KIREGE,2559,2635,5194,1280,7.46,695.93,CHUKA,EASTERN
LARI,KIRENGA,KIRENGA,1945,2087,4032,1044,5.01,804.87,LARI,CENTRAL
MIGORI,SUNA NYABISAWA,KIRENGO,2435,2650,5085,1009,19.78,257.06,SUBA WEST,NYANZA
MURANGA SOUTH,KIGUMO,KIRERE,3405,3691,7096,1878,9.37,757.15,KIGUMO,CENTRAL
NYERI SOUTH,GITHI,KIREREMA,968,1038,2006,600,4.33,462.93,MUKURWEINI,CENTRAL
NYERI NORTH,KIRIMUKUYU,KIRIA,1309,1546,2855,818,6.56,435.35,MATHIRA,CENTRAL
MURANGA NORTH,MUGOIRI,KIRIA,4232,4527,8759,2440,18.8,465.95,KAHURO,CENTRAL
MERU CENTRAL,KIRIA,KIRIA,964,921,1885,468,1.94,970.2,ABOTHUGUCHI C.,EASTERN
MURANGA NORTH,KIRU,KIRIAINI,1592,1844,3436,1151,4.82,713.03,MATHIOYA,CENTRAL
GATANGA,KIRIA-INI,KIRIA-INI,1300,1337,2637,671,4.93,535.22,GATANGA,CENTRAL
MAARA,MURUGI,KIRIANI,1260,1265,2525,709,3.68,686.53,MWIMBI,EASTERN
EMBU,RUGURU,KIRIARI,1623,1791,3414,912,5.76,592.19,MANYATTA,EASTERN
BOMET,KONGASIS,KIRIBA,1639,1860,3499,645,10.71,326.73,SIONGIROI,RIFT VALLEY
KILIFI,TAKAUNGU,KIRIBA / WANGWANI,1870,2025,3895,495,14.9,261.47,KIKAMBALA,COAST
KOIBATEK,KABUSWO,KIRIBOT,381,384,765,135,15.82,48.35,KISANANA,RIFT VALLEY
TRANS MARA,EMARTI,KIRIBWET,3647,3776,7423,1349,34.73,213.75,KIRINDON,RIFT VALLEY
NYERI SOUTH,KIGANJO,KIRICHU,2187,2301,4488,1329,9.66,464.47,MUNICIPALITY,CENTRAL
MBEERE,MUTITU,KIRIE,727,873,1600,374,28.19,56.76,SIAKAGO,EASTERN
MERU CENTRAL,KIRIGARA,KIRIGARA,1049,1129,2178,580,2.98,731.07,ABOTHUGUCHI C.,EASTERN
EMBU,NGANDORI EAST,KIRIGI,1639,1671,3310,926,4.38,755.74,MANYATTA,EASTERN
NAIROBI WEST,MUTUINI,KIRIGU,6097,6111,12208,3694,1.74,7027.4,DAGORETTI,NAIROBI
NYANDARUA SOUTH,LERESHWA,KIRIKO,3686,3795,7481,1702,67.35,111.07,KIPIPIRI,CENTRAL
GATUNDU,GITUAMBA,KIRIKO,2244,2402,4646,1116,8.77,529.77,CHANIA,CENTRAL
TESO NORTH,KOKARE,KIRIKO,959,1025,1984,374,5.06,392.4,AMAGORO,WESTERN
NYANDARUA NORTH,SHAMATA,KIRIMA,2258,2288,4546,1017,47.32,96.06,NDARAGWA,CENTRAL
NYERI NORTH,KABARU,KIRIMA,2858,2602,5460,1505,62.36,87.55,KIENI EAST,CENTRAL
MBEERE,KIANJIRU,KIRIMA,3477,3381,6858,1522,60.6,113.17,GACHOKA,EASTERN
NAKURU NORTH,NDUNGIRI /KIRIMA,KIRIMA,2570,2545,5115,1122,29.85,171.35,BAHATI,RIFT VALLEY
MERU CENTRAL,KATHERI EAST,KIRIMA KIATHI,811,867,1678,450,2.91,577.29,ABOTHUGUCHI W.,EASTERN
IMENTI NORTH,GIAKI,KIRIMAITUNE,1490,1349,2839,734,13.5,210.33,MIRIGA MIERU E.,EASTERN
NYANDARUA NORTH,WERU,KIRIMANGAI,2658,2740,5398,1301,22.07,244.54,OLJORO-OROK,CENTRAL
KIRINYAGA,NYANGATI,KIRIMARA,1244,1227,2471,711,9.31,265.35,MWEA,CENTRAL
IMENTI NORTH,MUNITHU,KIRIMENE,1742,1693,3435,826,3.86,889.32,MIRIGA MIERU E.,EASTERN
MURANGA SOUTH,MAKUYU,KIRIMIRI,6042,6078,12120,2924,76.06,159.35,MAKUYU,CENTRAL
SAMBURU CENTRAL,KIRIMON,KIRIMON,614,679,1293,303,48.52,26.65,LORROKI,RIFT VALLEY
LAIKIPIA NORTH,OLOIBOSOIT,KIRIMON,2594,2511,5105,1299,815.55,6.26,MUKOGODO,RIFT VALLEY
BURET,SOTIT,KIRIMOSE,805,824,1629,260,6.05,269.05,CHEPTALAL,RIFT VALLEY
IGEMBE,NTUNENE,KIRINDARA,5629,5702,11331,2708,7.27,1559.13,LAARE,EASTERN
IMENTI SOUTH,MITUNGUU,KIRINDENE,5915,5403,11318,3320,52.08,217.32,NKUENE,EASTERN
IGEMBE,ATHI,KIRINDINE,2649,2762,5411,1199,5.72,945.75,IGEMBE S.WEST,EASTERN
TRANS MARA,KIMINTET,KIRINDON,2763,2699,5462,966,59.22,92.23,KIRINDON,RIFT VALLEY
EMBU,KAGAARI EAST,KIRINGA,1800,1717,3517,852,24.62,142.87,RUNYENJES,EASTERN
NYANDARUA NORTH,KAHUTHA,KIRIOGO,1250,1266,2516,641,18.55,135.6,NDARAGWA,CENTRAL
MERU CENTRAL,KIRIA,KIRIRWA,833,820,1653,432,2.57,642.72,ABOTHUGUCHI C.,EASTERN
KIRINYAGA,KABARE,KIRITINI,2431,2562,4993,1386,6.43,776.82,GICHUGU,CENTRAL
KOIBATEK,SABATIA,KIROBON,638,611,1249,269,70.79,17.64,ESAGERI,RIFT VALLEY
NAKURU,NGATA,KIROBON,1552,1563,3115,785,21.12,147.48,NGATA,RIFT VALLEY
MURANGA NORTH,KAHUHIA,KIROGO,2642,3028,5670,1520,8.81,643.62,KAHURO,CENTRAL
IGEMBE,LUGUTI,KIROMWATHI,3177,3301,6478,1177,6.19,1045.75,NDOLELI,EASTERN
BOMET,KIROMWOK,KIROMWOK,3692,3718,7410,1323,14.88,497.89,BOMET CENTRAL,RIFT VALLEY
NANDI EAST,CHEMOMI,KIRONDIO,1171,998,2169,660,9.62,225.55,NANDI HILLS,RIFT VALLEY
TAITA,RONGE JUU,KIRONGE / MWAKALERI,661,757,1418,312,10.75,131.9,MWAMBIRWA,COAST
MAARA,MAARA,KIROO,1716,1721,3437,853,8.64,397.58,MWIMBI,EASTERN
IMENTI SOUTH,KINORO,KIROONE,855,918,1773,497,5.72,309.98,IGOJI,EASTERN
IMENTI NORTH,NTAKIRA,KIRUGUA,1886,1895,3781,958,3.18,1188.62,MIRIGA MIERU W.,EASTERN
THARAKA,KAMANYAKI,KIRUKUMA,604,661,1265,290,19.35,65.39,THARAKA SOUTH,EASTERN
MAARA,GANGA,KIRUMI,2429,2540,4969,1284,13.19,376.65,MWIMBI,EASTERN
KIRINYAGA,MUTIRA,KIRUNDA,3347,3468,6815,1902,8.48,803.79,CENTRAL,CENTRAL
THARAKA,THIITI,KIRUNDI,1307,1389,2696,536,13.44,200.6,THARAKA NORTH,EASTERN
MURANGA NORTH,KIRURI,KIRURI,1180,1233,2413,720,8.5,283.84,KANGEMA,CENTRAL
NYERI SOUTH,TETU,KIRURUMI,1327,1328,2655,724,9.54,278.16,TETU WEST,CENTRAL
EMBU,KYENI SOUTH,KIRURUMO,2209,2271,4480,1200,13.43,333.49,KYENI,EASTERN
KISII CENTRAL,IBENO,KIRWA,1639,1769,3408,742,5.24,650.67,KEUMBU,NYANZA
GATANGA,GATANGA,KIRWARA,2427,2603,5030,1351,6.79,740.29,GATANGA,CENTRAL
IMENTI NORTH,RWARERA,KIRWIRO,489,460,949,264,20.28,46.79,BUURI,EASTERN
KIPKELION,KIMUGUL,KISABO,2162,2269,4431,873,26.05,170.12,CHEPSEON,RIFT VALLEY
SUBA,GWASSI NORTH,KISAKU,1476,1611,3087,625,13.75,224.58,GWASSI,NYANZA
KAJIADO NORTH,CENTRAL KEEKONYOKIE,KISAMIS,1452,1495,2947,562,231.74,12.72,EWASO KEDONG,RIFT VALLEY
KOIBATEK,KISANANA,KISANANA,384,377,761,165,14.8,51.42,KISANANA,RIFT VALLEY
KAJIADO NORTH,OLTUROTO,KISANJU,3358,2850,6208,1844,148.94,41.68,ISINYA,RIFT VALLEY
KAJIADO NORTH,SOUTH KEEKONYOIKE,KISANJU,1782,1881,3663,684,148.37,24.69,NGONG,RIFT VALLEY
HAMISI,SHAMAKHOKHO,KISASI,2716,2960,5676,1179,4.47,1269.37,SHAMAKHOKHO,WESTERN
VIHIGA,W. MARAGOLI,KISATIRU,2561,2757,5318,1158,4.4,1209.41,CHAVAKALI,WESTERN
MOMBASA,KISAUNI,KISAUNI,39680,40131,79811,22762,8.07,9894.87,KISAUNI,COAST
BUNGOMA SOUTH,MUKWA,KISAWAYI,4221,4453,8674,1722,16.52,525.18,BUMULA,WESTERN
KITUI,KATUTU,KISAYANI,513,566,1079,221,15.68,68.81,MUTONGUNI,EASTERN
MAKUENI,KIKOKO,KISEKINI,2786,3117,5903,1145,10.36,569.84,KILUNGU,EASTERN
BARINGO,KISERIAN,KISERIAN,1131,1125,2256,406,75.92,29.71,MUKUTANI,RIFT VALLEY
KITUI,KISEUNI,KISEUNI,973,977,1950,341,57.3,34.03,YATTA,EASTERN
KYUSO,KIMANGAO,KISEUNI,877,1011,1888,361,69.02,27.35,KYUSO,EASTERN
KITUI,KAUWI,KISEVENI,921,1073,1994,380,22.35,89.24,MUTONGUNI,EASTERN
TAITA,SAGALLA,KISHAMBA,1501,1458,2959,722,156.29,18.93,VOI,COAST
TAITA,KISHAMBA,KISHAMBA,907,942,1849,429,5,369.87,MWATATE,COAST
TAITA,MWANDA,KISHAMBA,1050,984,2034,614,29.37,69.25,WUNDANYI,COAST
KAJIADO NORTH,NORTH KEEKONYOKIE,KISHARU,364,413,777,148,21.65,35.89,EWASO KEDONG,RIFT VALLEY
TAITA,RONGE JUU,KISHAU / KIWETO,606,684,1290,292,14.62,88.22,MWAMBIRWA,COAST
WEST POKOT,KISHAUNET,KISHAUNET,2883,2951,5834,1132,28.16,207.17,KAPENGURIA,RIFT VALLEY
TAITA,KISHUSHE,KISHUSHE,1973,1644,3617,971,379.8,9.52,WUNDANYI,COAST
VIHIGA,MUNGOMA,KISIENYA,1144,1323,2467,558,2.76,894.85,VIHIGA,WESTERN
YATTA,MAVOLONI,KISIIKI,2012,2264,4276,976,16.17,264.38,YATTA,EASTERN
MUTOMO,ATHI,KISIIO,1545,1544,3089,586,77.55,39.83,ATHI,EASTERN
MALINDI,CHAKAMA,KISIKI,1801,1607,3408,625,1697.14,2.01,LANGOBAYA,COAST
KIBWEZI,MAKINDU,KISINGO,1736,1856,3592,696,32.29,111.24,MAKINDU,EASTERN
NAROK NORTH,ENABELIBEL,KISIRIRI,2447,2317,4764,1018,48.01,99.23,OLOKURTO,RIFT VALLEY
BUNGOMA WEST,KABUCHAI,KISIWA,6431,6794,13225,2552,22.54,586.82,NALONDO,WESTERN
MARAKWET,KOIBIRIR,KISIWEI,930,1027,1957,443,19.33,101.24,TOT,RIFT VALLEY
TINDERET,AINAPNGETUNY,KISOGA,477,486,963,187,2.39,403,TINDERET,RIFT VALLEY
MARAKWET,MURKUTWO,KISOKA,350,365,715,227,8.4,85.09,TOT,RIFT VALLEY
BUSIA,NAMBALE T/SHIP,KISOKO,4304,4633,8937,1833,21.71,411.67,NAMBALE,WESTERN
BARINGO,KISONEI,KISONEI,601,620,1221,238,14.97,81.57,TENGES,RIFT VALLEY
MWINGI,MUMBUNI,KISOVO,1511,1771,3282,636,31.92,102.83,CENTRAL,EASTERN
HAMISI,JEPKOYAI,KITAGWA,1689,1730,3419,781,2.73,1253.71,JEPKOYAI,WESTERN
NZAUI,KITAINGO,KITAINGO,3541,3900,7441,1631,19.81,375.67,KILOME,EASTERN
BURET,CHEPTALAL,KITALA,747,776,1523,284,4.28,355.77,CHEPTALAL,RIFT VALLEY
WEST POKOT,RIWO,KITALAKAPEL,737,793,1530,309,35.55,43.03,KONGELAI,RIFT VALLEY
MAKUENI,WATEMA,KITANDI,649,716,1365,308,5.09,268.18,KEE,EASTERN
MACHAKOS,KATHEKAKAI,KITANGA,2240,1985,4225,938,37.52,112.61,CENTRAL,EASTERN
KEIYO,KITANY,KITANY,2064,2030,4094,753,50.36,81.29,CHEPKORIO,RIFT VALLEY
BORABU,KIANGENI,KITARU,2475,2158,4633,1443,29.43,157.42,EKERENYO,NYANZA
SUBA,GWASSI NORTH,KITAWA,1852,2036,3888,716,21.29,182.66,GWASSI,NYANZA
KWALE,NG'OMBENI,KITEJE,1833,1706,3539,701,19.06,185.72,MATUGA,COAST
KIBWEZI,KAMBU,KITENGEI,2105,2155,4260,838,62.97,67.65,MTITO ANDEI,EASTERN
KAJIADO NORTH,KITENKELA,KITENKELA,14311,13234,27545,8619,89.19,308.83,ISINYA,RIFT VALLEY
IGEMBE,KITHETU,KITHAENE,1233,1277,2510,550,1.41,1785.59,IGEMBE CENTRAL,EASTERN
IMENTI SOUTH,NKACHIE,KITHAKANARO,988,1012,2000,503,9.45,211.66,ABOGETA,EASTERN
MWALA,MASII,KITHANGAINI,1620,1745,3365,694,16.62,202.46,MASII,EASTERN
MERU SOUTH,KITHANGANI,KITHANGANI,585,595,1180,319,7.07,166.86,CHUKA,EASTERN
IMENTI SOUTH,KITHANGARI,KITHANGARI,4246,4350,8596,2194,20.22,425.22,ABOGETA,EASTERN
MAKUENI,KIKOKO,KITHANGATHINI,1570,1822,3392,756,6.6,513.56,KILUNGU,EASTERN
MAARA,MURUGI,KITHARE,705,687,1392,367,2.96,469.7,MWIMBI,EASTERN
IGEMBE,MURINGENE,KITHARE,2856,2837,5693,1128,5.12,1111.5,IGEMBE NORTH,EASTERN
IMENTI SOUTH,KIRINGA,KITHATU,1121,1133,2254,594,6.72,335.47,ABOGETA,EASTERN
EMBU,KITHIMU,KITHEGI,3292,3358,6650,1648,22.45,296.18,NEMBURE,EASTERN
YATTA,KITHIMANI,KITHENDU,5384,5588,10972,2406,38.11,287.91,YATTA,EASTERN
KALOLENI,MWANAMWINGA,KITHENGWANI/MAZIACHENDA,4257,4842,9099,1198,72.98,124.68,MARIAKANI,COAST
IGEMBE,NGUYUYU,KITHEO,2746,2463,5209,1214,2.81,1854.46,IGEMBE EAST,EASTERN
TIGANIA,KITHEO,KITHEO,2100,2357,4457,970,5.18,860.71,AKITHI,EASTERN
YATTA,IKOMBE,KITHEUNI,2493,2774,5267,1035,34.24,153.85,IKOMBE,EASTERN
MIGORI,WEST MUHURU,KITHI,1330,1366,2696,538,4.24,635.43,MUHURU,NYANZA
MACHAKOS,KAEWA,KITHIA,1803,2023,3826,898,5.37,712.25,KATHIANI,EASTERN
KITUI,KISEUNI,KITHIANI,529,512,1041,182,50.88,20.46,YATTA,EASTERN
THARAKA,MARIMANTI,KITHIGIRI,1333,1349,2682,712,22.67,118.28,THARAKA CENTRAL,EASTERN
IMENTI NORTH,KIIRUA,KITHIMA,1960,1701,3661,1127,33.6,108.94,BUURI,EASTERN
YATTA,KITHIMANI,KITHIMANI,4200,4067,8267,2103,64.32,128.52,YATTA,EASTERN
KANGUNDO,NGULUNI,KITHIMANI,1388,1480,2868,647,10.93,262.46,MATUNGULU,EASTERN
EMBU,KITHIMU,KITHIMU,5083,5262,10345,2614,20.56,503.15,NEMBURE,EASTERN
THARAKA,TUNYAI,KITHINO,949,1004,1953,488,12.25,159.45,THARAKA SOUTH,EASTERN
KIRINYAGA,KUTUS,KITHIRITI,3099,3110,6209,1906,8.8,705.9,CENTRAL,CENTRAL
IMENTI NORTH,KIRIMARA,KITHITHINA,3324,3265,6589,1754,22.84,288.49,TIMAU,EASTERN
IMENTI NORTH,CHUGU,KITHOKA,3759,3506,7265,1749,13.1,554.72,MIRIGA MIERU E.,EASTERN
KANGUNDO,NGULUNI,KITHUANI,1925,1993,3918,870,18.4,212.96,MATUNGULU,EASTERN
MAKUENI,KITHUKI,KITHUKI,2750,2991,5741,1064,82.85,69.29,KITHUKI,EASTERN
NZAUI,KAKUTHA,KITHUMANI,640,692,1332,259,8.38,159.04,MBITINI,EASTERN
NZAUI,KITHUMBA,KITHUMBA,1960,2034,3994,786,21.15,188.84,KALAMBA,EASTERN
KIRINYAGA,MWERUA,KITHUMBU,5532,5997,11529,3685,18.9,610.13,NDIA,CENTRAL
KITUI,KITHUMULA,KITHUMULA,2823,3101,5924,1295,38.92,152.2,MATINYANI,EASTERN
EMBU,RUGURU,KITHUNGURIRI,1390,1512,2902,739,5.9,491.63,MANYATTA,EASTERN
EMBU,NGANDORI WEST,KITHUNGURURU,1326,1300,2626,658,3.48,755.23,MANYATTA,EASTERN
MBEERE,KITHUNTHIRI,KITHUNTHIRI,2687,2707,5394,1252,27.79,194.11,KIRITIRI,EASTERN
IMENTI NORTH,RWARERA,KITHWENE,2216,2289,4505,1231,36.7,122.75,BUURI,EASTERN
YATTA,KITHYOKO,KITHYOKO,2291,2520,4811,1127,57.24,84.04,MASINGA,EASTERN
MWALA,KIBAUNI,KITILE,756,871,1627,306,16.93,96.11,KIBAUNI,EASTERN
NYANDARUA SOUTH,KINANGOP NORTH,KITIRI,4269,4288,8557,1821,88.57,96.61,KINANGOP NORTH,CENTRAL
MOLO,MARIASHONI,KITIRO,2496,2245,4741,959,44.56,106.4,ELBURGON,RIFT VALLEY
MWINGI,KALITINI,KITISE,1593,1692,3285,690,59.03,55.65,MUI,EASTERN
MAKUENI,KITISE,KITISE,3363,3540,6903,1338,111.03,62.17,KITISE,EASTERN
WESTLANDS,KITISURU,KITISURU,3432,2761,6193,2105,8.61,719.51,WESTLANDS,NAIROBI
KWALE,WAA,KITIVO,2847,2950,5797,1242,15.65,370.42,MATUGA,COAST
KISUMU WEST,EAST SEME,KIT-MIKAYE,2644,3018,5662,1305,15,377.35,MASENO,NYANZA
BOMET,MUGANGO,KITOBEN,2279,2301,4580,840,10.9,420.09,BOMET CENTRAL,RIFT VALLEY
TAVETA,KITOBO,KITOBO,1994,1807,3801,839,33.81,112.42,BOMENI,COAST
MAKUENI,MUVAU,KITONYONI,1284,1306,2590,462,27.06,95.72,WOTE,EASTERN
KITUI,MUTITO,KITOO,1812,1984,3796,908,37.01,102.57,MUTITU,EASTERN
MUTOMO,MUTOMO,KITOO,2311,2588,4899,880,77.07,63.56,MUTOMO,EASTERN
KYUSO,MASYUNGWA,KITOVOTO,1978,2385,4363,790,494.62,8.82,TSEIKURU,EASTERN
POKOT CENTRAL,MWINO,KITOYO,1057,1015,2072,389,15.33,135.16,SIGOR,RIFT VALLEY
KILIFI,CHASIMBA,KITSOENI,2397,2853,5250,966,29.92,175.48,CHONYI,COAST
MWINGI,THITANI,KITULANI,655,836,1491,340,5.53,269.77,MIGWANI,EASTERN
KANGUNDO,KYELENI,KITULUNI,940,934,1874,394,12.01,156.03,MATUNGULU,EASTERN
MAKUENI,MBUVO,KITULUNI,2392,2620,5012,915,59.41,84.36,KITISE,EASTERN
KITUI,MUTULU,KITUMBI,215,253,468,101,1.86,251.92,MATINYANI,EASTERN
MBOONI,KITUNDU,KITUNDU,3208,3635,6843,1340,16.59,412.37,MBOONI,EASTERN
MACHAKOS,IVETI,KITUNDUNI,1899,1976,3875,821,7.47,518.42,KATHIANI,EASTERN
KITUI,KISASI,KITUNGATI,2305,2553,4858,1007,25.59,189.81,CHULUNI,EASTERN
BUNGOMA EAST,MISIKHU,KITUNI,4680,4840,9520,1879,17.87,532.7,WEBUYE,WESTERN
BARINGO,KITURO,KITURO,1068,1283,2351,427,5.31,443.12,KABARNET,RIFT VALLEY
MARSABIT,SONGA,KITURUNI,679,589,1268,266,93.57,13.55,CENTRAL,EASTERN
MUTOMO,ATHI,KITUTI,4253,4409,8662,1648,235.38,36.8,ATHI,EASTERN
MUTOMO,KANZIKO,KITUVWI,920,1025,1945,294,94.16,20.66,KANZIKO,EASTERN
KANGUNDO,KANZALU,KITWII,1935,2025,3960,927,5.72,692.88,KANGUNDO,EASTERN
KIBWEZI,MAKINDU,KIU,3044,2913,5957,1307,27.93,213.26,MAKINDU,EASTERN
GATANGA,KIUMBU-INI,KIUMBU-INI,1007,1032,2039,541,3.42,596.16,KIUMBU-INI,CENTRAL
MAKUENI,MUUSINI,KIUMONI,828,858,1686,299,17.35,97.18,MAVINDINI,EASTERN
MWALA,NGOMANO,KIUNDUANI,774,764,1538,305,14.17,108.51,KIBAUNI,EASTERN
IGEMBE,KANUNI,KIUNYENE,1865,1961,3826,838,3.07,1245.93,IGEMBE SOUTH,EASTERN
GATANGA,KIUNYU,KIUNYU,1554,1669,3223,891,3.22,999.41,KIUMBU-INI,CENTRAL
RUIRU,GITHURAI,KIUU,23169,23182,46351,14835,4.89,9479.7,GITHURAI,CENTRAL
YATTA,KIVAA,KIVAA,3569,3634,7203,1730,112.66,63.94,MASINGA,EASTERN
VIHIGA,N. MARAGOLI,KIVAGALA,1290,1439,2729,560,2.44,1116.93,SABATIA,WESTERN
MUTOMO,KANZIKO,KIVANDENI,932,1039,1971,328,30.61,64.39,KANZIKO,EASTERN
MACHAKOS,MUVUTI,KIVANDINI,2611,2843,5454,1225,11.44,476.86,CENTRAL,EASTERN
MWALA,MWALA,KIVANDINI,876,894,1770,381,8.97,197.23,MWALA,EASTERN
KITUI,KIVANI,KIVANI,937,1138,2075,438,22.92,90.54,MUTONGUNI,EASTERN
MAKUENI,KIVANI,KIVANI,1565,1700,3265,738,17.47,186.9,KAITI,EASTERN
LUGARI,CHEVAYWA,KIVAYWA,7010,7452,14462,2968,23.73,609.4,MATETE,WESTERN
YATTA,NDALANI,KIVINGONI,3700,4088,7788,1727,55.81,139.56,YATTA,EASTERN
MWINGI,MWINGI,KIVOU,2098,2250,4348,785,33.85,128.45,CENTRAL,EASTERN
NAKURU,BONDENI,KIVUMBINI,10221,10353,20574,6148,2.2,9347.99,MUNICIPALITY,RIFT VALLEY
MACHAKOS,MUTITUNI,KIVUTINI,1939,2131,4070,950,3.89,1045.22,CENTRAL,EASTERN
MUTOMO,MATHIMA,KIVYUNI,1151,1231,2382,398,41.83,56.94,MUTHA,EASTERN
NAIROBI NORTH,KAHAWA,KIWANJA,9035,7921,16956,3813,8.75,1937.32,KASARANI,NAIROBI
WAJIR SOUTH,KIWANJA NDEGE,KIWANJA NDEGE,2160,1815,3975,714,112.02,35.48,HABASWEN,NORTH EASTERN
ISIOLO,EAST,KIWANJANI,1459,1537,2996,651,4.41,680.03,EAST,EASTERN
POKOT NORTH,KIWAWA,KIWAWA,2000,2174,4174,750,117.36,35.57,ALALE,RIFT VALLEY
LAMU,NDAU,KIWAYUU,286,259,545,115,4.73,115.17,KIZINGITINI,COAST
MSAMBWENI,VANGA,KIWEGU,4546,4866,9412,1586,80.76,116.54,LUNGA LUNGA,COAST
MIGORI,NORTH EAST KADEM,KIWIRO,1388,1605,2993,657,24.98,119.8,NYATIKE,NYANZA
KWALE,MWALUPHAMBA,KIZIBE,2463,2678,5141,855,76.02,67.63,KUBO,COAST
LAMU,KIZINGITINI,KIZINGITINI,1573,1581,3154,529,0.62,5096.14,KIZINGITINI,COAST
MOMBASA,GANJONI,KIZINGO,3471,3692,7163,1543,2.18,3292.43,ISLAND,COAST
KILIFI,MWARAKAYA,KIZINGO,4536,5306,9842,1790,17.73,555.25,CHONYI,COAST
RACHUONYO,WANGCHIENG,KOBALA,1919,2087,4006,870,15.38,260.54,EAST KARACHUONYO,NYANZA
RACHUONYO,KANYALUO WEST,KOBILA,1732,1844,3576,700,6.09,586.81,EAST KARACHUONYO,NYANZA
HOMABAY,SOUTH KABUOCH,KOBITA,3728,4075,7803,1837,31.57,247.17,RIANA,NYANZA
RARIEDA,CENTRAL UYOMA,KOBONG,2271,2493,4764,1070,12.92,368.81,MADIANY,NYANZA
NYANDO,ONJIKO,KOBONGO,2372,2494,4866,1055,12.07,403.1,NYANDO,NYANZA
KWANZA,KAPOMBOI,KOBOS,7007,7013,14020,2856,50.57,277.24,KWANZA,RIFT VALLEY
KEIYO,KEU,KOBULWO,614,555,1169,304,32.78,35.66,TAMBACH,RIFT VALLEY
MARAKWET,KOIBARAK,KOBUSWA,1659,1704,3363,664,11.91,282.35,KAPSOWAR,RIFT VALLEY
RACHUONYO,KOBUYA,KOBUYA EAST,2166,2419,4585,979,19.52,234.9,EAST KARACHUONYO,NYANZA
RACHUONYO,KOBUYA,KOBUYA WEST,1039,1299,2338,479,5.1,458.64,EAST KARACHUONYO,NYANZA
TURKANA NORTH,NAKALALE,KOBWIN,1873,1614,3487,528,581.56,6,KAKUMA,RIFT VALLEY
HOMABAY,EAST KANYADA,KOBWOLA KOGWANG,3204,3529,6733,1444,17.9,376.19,ASEGO,NYANZA
WEST POKOT,CHEPKOMOS,KOCHAR,237,220,457,109,18.61,24.55,SOOK,RIFT VALLEY
TESO SOUTH,AMUKURA,KOCHEK,868,853,1721,348,3.08,558.55,AMUKURA,WESTERN
RACHUONYO,KONUONGA,KOCHICH,2297,2688,4985,1082,10.03,497,KASIPUL,NYANZA
SIAYA,CENTRAL ALEGO,KOCHIENG 'A',1395,1691,3086,766,8.18,377.28,BORO,NYANZA
SIAYA,CENTRAL ALEGO,KOCHIENG 'B',1210,1392,2602,594,7.37,352.99,BORO,NYANZA
HOMABAY,NORTH KANYAMWA,KOCHIENG EAST.,960,980,1940,428,9.05,214.37,NDHIWA,NYANZA
HOMABAY,NORTH KANYAMWA,KOCHIENG WEST,1117,1199,2316,485,9.52,243.38,NDHIWA,NYANZA
NYANDO,KOCHOGO,KOCHOGO CENTRAL,768,766,1534,297,1.5,1020.22,NYANDO,NYANZA
NYANDO,KOCHOGO,KOCHOGO NORTH,2095,2270,4365,872,7.01,622.34,NYANDO,NYANZA
NYANDO,KOCHOGO,KOCHOGO SOUTH,1879,1983,3862,802,9.16,421.58,NYANDO,NYANZA
RACHUONYO,KANJIRA,KOCHOLA,1234,1371,2605,542,5.86,444.36,W.KARACHUONYO,NYANZA
TESO NORTH,KOCHOLIA,KOCHOLIA,1161,1358,2519,525,5.69,442.83,AMAGORO,WESTERN
KEIYO,KOCHOLWO,KOCHOLWO,874,876,1750,381,19.39,90.24,METKEI,RIFT VALLEY
KAKAMEGA CENTRAL,WEST BUNYALA,KOCHWA,4999,5621,10620,2066,20.08,528.86,NAVAKHOLO,WESTERN
TESO NORTH,KAMOLO,KODEDEMA,1129,1236,2365,460,5.54,427.03,AMAGORO,WESTERN
RACHUONYO,KAKOTH KATAA,KODEDO,1590,1548,3138,583,6.2,505.8,W.KARACHUONYO,NYANZA
RONGO,C.KAMAGAMBO,KODERA BARA,4714,5248,9962,2142,14.61,681.86,RONGO,NYANZA
RACHUONYO,KODERA,KODERA KARABACH,2601,2889,5490,1116,13.92,394.32,KASIPUL,NYANZA
